Region,2011,2012,2013,2014,2015
Bratislavský kraj,1192,1225,1273,1373.99,1346.69
Trnavský kraj,830,900,905,944.09,975.53
Trenčiansky kraj,756,779,849,868.79,911.36
Nitriansky kraj,706,750,759,813.97,841.7
Žilinský kraj,794,845,862,899.64,951.66
Banskobystrický kraj,735,745,754,776.73,806.35
Prešovský kraj,636,642,657,720.32,721.3
Košický kraj,878,870,877,937.4,953.65
